week,New.Infections_S0,New.Infections_S1,New.Infections_S2,New.Infections_S3,New.Infections_S4,New.Infections_S5,New.Infections_S6,New.Infections_S7,New.Infections_S8,New.Infections_S9,New.Infections_S10,New.Infections_S11,New.Infections_S12,New.Infections_S13,New.Infections_S14,New.Infections_S15,New.Infections_S16,New.Infections_S17,New.Infections_S18,New.Infections_S19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,1,2,2,1,1,2,1,2,0,1,1,1,1,1,2,2
2,0,0,0,1,1,1,1,1,1,2,2,1,1,0,0,1,1,0,2,1
3,0,0,0,1,1,2,2,2,2,3,4,1,1,0,1,1,1,1,4,1
4,0,0,0,1,1,1,1,1,1,3,4,0,0,0,0,0,1,1,3,1
5,0,0,1,1,2,2,2,2,1,4,4,1,0,0,2,0,2,2,3,2
6,0,0,1,1,1,2,2,2,2,3,4,1,0,0,1,0,2,2,1,2
7,0,1,1,2,2,2,2,3,1,3,4,0,1,0,1,0,2,3,3,3
8,0,1,1,2,2,2,3,4,2,4,4,0,0,0,2,0,2,2,3,4
9,0,0,0,1,2,2,4,3,1,3,5,0,0,0,1,0,2,2,3,3
10,0,0,0,1,1,2,3,5,2,4,4,0,0,0,0,0,2,1,3,4
11,0,0,0,1,2,2,3,4,1,3,6,0,0,0,0,0,3,1,3,4
12,0,0,0,1,2,3,4,6,0,3,5,0,1,0,1,0,4,2,5,4
13,0,0,1,2,3,2,4,6,1,4,5,0,1,0,2,0,4,3,4,5
14,0,0,0,1,3,3,4,6,1,4,5,0,1,1,1,0,3,0,4,4
15,0,0,0,2,3,3,4,7,2,4,4,0,1,0,2,0,5,2,7,6
16,0,0,1,1,2,3,6,11,2,4,5,0,1,0,1,0,4,2,5,5
17,0,0,0,2,2,3,5,9,1,3,4,0,1,0,0,1,5,1,5,4
18,0,0,0,1,3,2,4,9,2,4,5,0,1,0,1,1,6,1,5,4
19,0,0,0,1,3,3,5,10,1,4,6,0,1,0,0,1,6,2,6,4
20,0,1,1,2,4,5,7,12,3,3,4,1,1,0,2,2,7,4,2,2
21,0,0,0,2,4,4,7,16,2,4,5,1,1,0,1,2,6,4,6,5
22,0,0,1,2,4,5,6,17,1,4,4,3,1,0,1,2,9,4,8,4
23,0,0,0,2,4,4,6,20,1,4,5,1,1,0,1,2,9,5,7,5
24,0,0,1,2,5,4,8,19,2,2,4,2,1,0,2,4,10,4,7,6
25,0,0,0,2,4,4,8,24,2,3,4,2,0,0,1,4,9,6,3,2
26,0,0,1,2,5,3,10,28,1,3,5,1,1,0,1,5,4,6,7,5
27,0,0,1,1,4,5,11,29,1,3,4,0,1,0,1,7,2,7,6,7
28,0,1,1,2,5,7,11,31,1,3,5,0,2,0,2,6,3,2,9,7
29,0,0,1,2,3,6,11,32,2,4,6,0,2,0,1,7,2,2,8,7
30,0,0,1,2,4,5,11,33,1,2,5,0,2,0,1,7,1,4,3,6
31,0,0,2,3,5,7,10,35,1,4,5,1,1,1,1,8,0,1,7,6
32,0,0,2,3,5,6,11,40,1,2,5,1,3,1,3,10,1,6,7,9
33,0,0,2,4,4,6,11,41,1,4,4,0,2,0,2,9,1,4,9,10
34,0,0,1,3,3,5,9,45,1,3,5,1,2,0,1,9,0,4,3,9
35,0,0,0,3,3,6,12,43,1,3,5,2,2,1,1,8,1,5,7,8
36,0,0,1,3,3,6,10,50,1,4,4,1,2,0,1,8,1,2,3,3
37,0,0,0,2,3,4,10,51,1,4,4,1,3,0,1,8,1,4,5,6
38,0,0,0,2,3,3,10,51,2,3,4,0,2,0,1,9,2,3,1,5
39,0,0,1,2,2,3,12,56,1,3,5,1,1,0,1,10,1,3,3,6
40,0,0,0,1,2,4,12,56,2,3,5,1,1,0,1,7,2,3,3,5
41,0,0,0,2,2,3,11,59,2,3,4,1,2,0,0,7,2,3,1,2
42,0,0,1,1,2,2,10,60,1,4,4,1,2,0,0,8,2,1,3,3
43,0,0,0,1,1,3,11,66,2,3,6,1,0,0,0,10,2,0,2,4
44,0,0,0,0,1,2,9,67,1,2,5,1,0,0,0,8,2,1,2,4
45,0,0,0,1,1,3,11,69,2,4,6,2,1,0,0,8,2,0,3,4
46,0,0,1,1,2,3,9,74,1,4,4,2,1,0,0,8,2,0,2,5
47,0,0,0,1,2,3,10,79,1,3,5,1,1,0,0,8,4,0,1,1
48,0,0,0,1,1,2,9,80,2,3,4,1,1,0,0,7,1,1,2,4
49,0,0,0,1,2,2,9,78,1,2,5,0,0,0,0,6,3,0,1,2
50,0,0,0,1,1,3,10,85,2,3,4,1,1,0,0,5,3,1,1,4
51,0,0,0,1,2,2,8,83,2,4,4,1,1,0,0,6,3,0,1,4
52,0,0,1,1,1,3,9,89,2,4,4,1,1,0,0,5,2,1,2,4
53,0,0,1,1,2,2,9,86,2,4,4,1,1,0,0,4,4,0,2,3
54,0,0,1,2,2,3,10,92,1,4,4,2,1,0,1,5,4,2,2,3
55,0,0,1,1,1,2,8,90,1,2,5,1,1,0,0,6,3,3,2,4
56,0,0,0,1,1,3,12,95,2,4,3,1,1,0,0,5,4,0,3,4
57,0,0,1,2,3,4,9,101,1,3,4,2,2,0,2,5,4,3,2,4
58,0,0,0,1,2,4,11,92,1,5,4,1,1,0,1,5,6,2,3,6
59,0,0,0,1,2,4,12,100,2,3,4,1,1,0,1,5,5,2,1,1
60,0,0,1,1,3,3,10,100,2,3,4,1,1,0,1,5,5,3,1,1
61,0,0,1,2,4,4,10,103,2,2,5,2,1,1,1,6,6,3,2,2
62,0,0,1,1,4,3,12,98,1,3,5,1,0,0,0,5,5,3,1,1
63,0,0,0,2,3,4,10,105,2,4,4,1,1,0,1,5,5,2,2,2
64,0,0,0,1,2,3,12,110,2,3,5,1,1,0,1,5,6,3,2,3
65,0,0,1,2,3,4,11,106,2,4,4,2,1,0,1,5,5,2,3,2
66,0,0,0,1,2,5,11,109,1,3,6,2,1,1,0,5,4,1,2,2
67,0,0,1,2,2,4,9,110,2,3,7,2,1,1,1,5,6,3,4,4
68,0,0,1,1,2,4,11,106,1,3,5,2,1,0,1,5,6,1,3,2
69,0,0,1,2,2,4,10,108,1,2,4,2,1,1,0,6,6,1,4,2
70,0,0,0,2,2,3,8,108,2,5,5,2,1,1,1,4,6,1,4,4
71,0,0,0,2,2,4,9,104,1,4,6,1,1,0,0,4,5,0,4,3
72,0,0,0,1,1,4,8,102,2,3,5,1,1,0,0,4,5,1,5,2
73,0,0,0,1,2,4,9,100,2,4,4,0,1,0,0,4,5,1,4,3
74,0,0,0,0,1,4,8,94,1,4,4,1,0,0,0,3,6,0,4,3
75,0,0,0,0,1,5,6,95,2,3,5,0,0,0,0,3,5,0,4,2
76,0,0,0,0,0,4,10,98,1,4,3,0,0,0,0,3,5,0,3,2
77,0,0,0,0,0,3,8,94,1,3,4,0,0,0,0,2,6,0,3,2
78,0,0,0,0,0,4,6,96,1,3,4,0,0,0,0,3,5,0,4,2
79,0,0,0,0,0,2,4,95,2,3,4,0,0,0,0,2,5,0,3,2
80,0,0,0,0,0,3,5,93,2,4,4,0,0,0,0,2,6,0,3,1
81,0,0,0,0,0,2,5,95,1,3,4,0,0,0,0,2,5,0,4,1
82,0,0,0,0,0,2,5,90,2,3,5,0,0,0,0,1,6,0,3,2
83,0,0,0,0,0,3,5,92,1,4,4,0,0,0,0,0,4,0,3,2
84,0,0,0,0,0,2,4,88,2,3,6,0,0,0,0,0,5,0,1,0
85,0,0,0,0,0,2,4,87,1,3,5,0,0,0,0,1,6,0,2,1